method,sample_size,run,area
orthogonal,10000,88,1.5056
orthogonal,10000,89,1.512
orthogonal,10000,90,1.5232
orthogonal,10000,91,1.5072
orthogonal,10000,92,1.5072
orthogonal,10000,93,1.4928
orthogonal,10000,94,1.4992
orthogonal,10000,95,1.5216
orthogonal,10000,96,1.5264
orthogonal,10000,97,1.5056
orthogonal,10000,98,1.5024
orthogonal,10000,99,1.5152
orthogonal,10000,100,1.5072
uniform_square,1000000,1,1.50384
uniform_square,1000000,2,1.51224
uniform_square,1000000,3,1.509456
uniform_square,1000000,4,1.510192
uniform_square,1000000,5,1.508848
uniform_square,1000000,6,1.503264
uniform_square,1000000,7,1.503456
uniform_square,1000000,8,1.515232
uniform_square,1000000,9,1.51648
uniform_square,1000000,10,1.514528
uniform_square,1000000,11,1.506528
uniform_square,1000000,12,1.514672
uniform_square,1000000,13,1.513936
uniform_square,1000000,14,1.510992
uniform_square,1000000,15,1.507184
uniform_square,1000000,16,1.506304
uniform_square,1000000,17,1.506048
uniform_square,1000000,18,1.508416
uniform_square,1000000,19,1.506672
uniform_square,1000000,20,1.508608
uniform_square,1000000,21,1.504416
uniform_square,1000000,22,1.50696
uniform_square,1000000,23,1.509584
uniform_square,1000000,24,1.50704
uniform_square,1000000,25,1.507184
uniform_square,1000000,26,1.509536
uniform_square,1000000,27,1.510704
uniform_square,1000000,28,1.504912
uniform_square,1000000,29,1.517808
uniform_square,1000000,30,1.514128
uniform_square,1000000,31,1.509584
